zip,county,state
82925,SUBLETTE,WY
82929,SWEETWATER,WY
82929,SWEETWATER,WY
82930,UINTA,WY
82930,UINTA,WY
82931,UINTA,WY
82932,SWEETWATER,WY
82932,SWEETWATER,WY
82933,UINTA,WY
82933,UINTA,WY
82934,SWEETWATER,WY
82935,SWEETWATER,WY
82935,SWEETWATER,WY
82936,UINTA,WY
82937,UINTA,WY
82937,UINTA,WY
82938,SWEETWATER,WY
82938,SWEETWATER,WY
82939,UINTA,WY
82941,SUBLETTE,WY
82942,SWEETWATER,WY
82942,SWEETWATER,WY
82942,SWEETWATER,WY
82943,SWEETWATER,WY
82944,UINTA,WY
82945,SWEETWATER,WY
83001,TETON,WY
83001,TETON,WY
83001,TETON,WY
83001,TETON,WY
83001,TETON,WY
83002,TETON,WY
83002,TETON,WY
83011,TETON,WY
83012,TETON,WY
83012,TETON,WY
83013,TETON,WY
83013,TETON,WY
83014,TETON,WY
83025,TETON,WY
83101,LINCOLN,WY
83101,LINCOLN,WY
83101,LINCOLN,WY
83110,LINCOLN,WY
83110,LINCOLN,WY
83111,LINCOLN,WY
83112,LINCOLN,WY
83112,LINCOLN,WY
83113,SUBLETTE,WY
83114,LINCOLN,WY
83114,LINCOLN,WY
83115,SUBLETTE,WY
83116,LINCOLN,WY
83118,LINCOLN,WY
83119,LINCOLN,WY
83120,LINCOLN,WY
83121,LINCOLN,WY
83122,LINCOLN,WY
83123,LINCOLN,WY
83123,LINCOLN,WY
83124,LINCOLN,WY
83126,LINCOLN,WY
83127,LINCOLN,WY
83127,LINCOLN,WY
83127,LINCOLN,WY
83128,LINCOLN,WY
83414,TETON,WY
24701,MERCER,WV
24701,MERCER,WV
24701,MERCER,WV
24701,MERCER,WV
24701,MERCER,WV
24701,MERCER,WV
24701,MERCER,WV
24701,MERCER,WV
24701,MERCER,WV
24712,MERCER,WV
24714,MERCER,WV
24715,MERCER,WV
24716,WYOMING,WV
24719,WYOMING,WV
24724,MERCER,WV
24724,MERCER,WV
24724,MERCER,WV
24726,WYOMING,WV
24729,MERCER,WV
24731,MERCER,WV
24732,MERCER,WV
24733,MERCER,WV
24736,MERCER,WV
24736,MERCER,WV
24736,MERCER,WV
24737,MERCER,WV
24738,MERCER,WV
24739,MERCER,WV
24739,MERCER,WV
24740,MERCER,WV
24740,MERCER,WV
24740,MERCER,WV
24747,MERCER,WV
24747,MERCER,WV
24747,MERCER,WV
24751,MERCER,WV
24801,MCDOWELL,WV
24801,MCDOWELL,WV
24801,MCDOWELL,WV
24801,MCDOWELL,WV
24801,MCDOWELL,WV
24801,MCDOWELL,WV
24801,MCDOWELL,WV
24801,MCDOWELL,WV
24801,MCDOWELL,WV
24808,MCDOWELL,WV
24808,MCDOWELL,WV
24811,MCDOWELL,WV
24811,MCDOWELL,WV
24813,MCDOWELL,WV
24815,MCDOWELL,WV
24815,MCDOWELL,WV
24815,MCDOWELL,WV
24816,MCDOWELL,WV
24817,MCDOWELL,WV
